Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2,Source1Arrival,Source1Service,Source1AvgQLength,Source1AvgDelay,Source1ApproxDelay1,Source1ApproxDelay2
4,2,0.410000,0.390000,2,5,1,0.500000,0.388270,0.776290,7.764514,19.997719,26.775000,24.767209,0.409070,0.817010,17.980345,43.954202,26.775000,24.767209
4,2,0.410000,0.400000,2,5,1,0.500000,0.396050,0.792090,9.347900,23.602828,42.400000,37.485435,0.409910,0.819490,14.126984,34.463623,42.400000,37.485435
4,2,0.410000,0.410000,2,5,1,0.500000,0.410910,0.821100,20.414072,49.680153,104.900000,78.781364,0.409240,0.817020,18.279860,44.667824,104.900000,78.781364
5,2,0.410000,0.390000,2,5,1,0.500000,0.389140,0.777860,7.542919,19.383561,26.775000,24.767209,0.407850,0.815330,17.670904,43.326968,26.775000,24.767209
5,2,0.410000,0.400000,2,5,1,0.500000,0.395150,0.790240,9.840649,24.903579,42.400000,37.485435,0.411800,0.823500,16.375880,39.766587,42.400000,37.485435
5,2,0.410000,0.410000,2,5,1,0.500000,0.407740,0.814630,22.814483,55.953507,104.900000,78.781364,0.407000,0.812380,26.194189,64.359187,104.900000,78.781364
6,2,0.410000,0.390000,2,5,1,0.500000,0.389400,0.778140,8.636982,22.180230,26.775000,24.767209,0.410370,0.820400,12.900154,31.435421,26.775000,24.767209
6,2,0.410000,0.400000,2,5,1,0.500000,0.400310,0.800370,15.123257,37.778864,42.400000,37.485435,0.410500,0.820960,21.932864,53.429632,42.400000,37.485435
6,2,0.410000,0.410000,2,5,1,0.500000,0.412100,0.823720,24.182518,58.681188,104.900000,78.781364,0.409600,0.817710,23.598768,57.614179,104.900000,78.781364
7,2,0.410000,0.390000,2,5,1,0.500000,0.386670,0.773270,6.274290,16.226473,26.775000,24.767209,0.411630,0.822920,10.316463,25.062466,26.775000,24.767209
7,2,0.410000,0.400000,2,5,1,0.500000,0.399120,0.798200,10.491187,26.285796,42.400000,37.485435,0.405800,0.811600,17.834732,43.949563,42.400000,37.485435
7,2,0.410000,0.410000,2,5,1,0.500000,0.407790,0.815410,22.764698,55.824561,104.900000,78.781364,0.410590,0.820940,26.925682,65.578026,104.900000,78.781364
8,2,0.410000,0.390000,2,5,1,0.500000,0.392120,0.784030,8.357109,21.312632,26.775000,24.767209,0.411880,0.823220,22.076538,53.599442,26.775000,24.767209
8,2,0.410000,0.400000,2,5,1,0.500000,0.400950,0.801530,15.072358,37.591616,42.400000,37.485435,0.407910,0.815650,20.113081,49.307645,42.400000,37.485435
8,2,0.410000,0.410000,2,5,1,0.500000,0.409140,0.817930,23.569459,57.607321,104.900000,78.781364,0.407890,0.815700,22.330147,54.745512,104.900000,78.781364
9,2,0.410000,0.390000,2,5,1,0.500000,0.390750,0.781500,7.654453,19.589132,26.775000,24.767209,0.408860,0.817660,13.966800,34.160349,26.775000,24.767209
9,2,0.410000,0.400000,2,5,1,0.500000,0.401820,0.803380,13.459246,33.495709,42.400000,37.485435,0.409990,0.819830,13.270830,32.368668,42.400000,37.485435
9,2,0.410000,0.410000,2,5,1,0.500000,0.409580,0.819100,19.719779,48.146342,104.900000,78.781364,0.409750,0.819420,21.639529,52.811542,104.900000,78.781364
10,2,0.410000,0.390000,2,5,1,0.500000,0.391290,0.782560,8.462971,21.628384,26.775000,24.767209,0.407720,0.815140,12.512713,30.689475,26.775000,24.767209
10,2,0.410000,0.400000,2,5,1,0.500000,0.402500,0.804780,14.914665,37.055068,42.400000,37.485435,0.406250,0.812210,15.190093,37.390999,42.400000,37.485435
10,2,0.410000,0.410000,2,5,1,0.500000,0.409620,0.818160,22.951491,56.031178,104.900000,78.781364,0.409290,0.818520,24.874442,60.774615,104.900000,78.781364
