Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay
1,1,0.050000,0.600000,2,5,1,0.500000,0.603380,1.206550,18.716040,31.018661
1,1,0.050000,0.650000,2,5,1,0.500000,0.648570,1.252710,1152.728946,1777.339294
2,1,0.050000,0.050000,2,5,1,0.500000,0.049950,0.099900,0.047481,0.950570
2,1,0.050000,0.100000,2,5,1,0.500000,0.099580,0.199160,0.106114,1.065613
2,1,0.050000,0.150000,2,5,1,0.500000,0.149810,0.299550,0.175920,1.174287
2,1,0.050000,0.200000,2,5,1,0.500000,0.198490,0.396980,0.265705,1.338630
2,1,0.050000,0.250000,2,5,1,0.500000,0.251220,0.502440,0.388497,1.546443
2,1,0.050000,0.300000,2,5,1,0.500000,0.300310,0.600620,0.542639,1.806929
2,1,0.050000,0.350000,2,5,1,0.500000,0.350290,0.700560,0.745891,2.129352
2,1,0.050000,0.400000,2,5,1,0.500000,0.399390,0.798710,1.031556,2.582830
2,1,0.050000,0.450000,2,5,1,0.500000,0.449680,0.899280,1.564066,3.478176
2,1,0.050000,0.500000,2,5,1,0.500000,0.500500,1.000990,2.421270,4.837702
2,1,0.050000,0.550000,2,5,1,0.500000,0.552420,1.104840,4.581857,8.294154
2,1,0.050000,0.600000,2,5,1,0.500000,0.592550,1.185030,12.853585,21.691983
2,1,0.050000,0.650000,2,5,1,0.500000,0.649080,1.246110,1341.372075,2066.574343
3,1,0.050000,0.050000,2,5,1,0.500000,0.050940,0.101880,0.049933,0.980241
3,1,0.050000,0.100000,2,5,1,0.500000,0.100570,0.201140,0.106359,1.057565
3,1,0.050000,0.150000,2,5,1,0.500000,0.148700,0.297400,0.177209,1.191721
3,1,0.050000,0.200000,2,5,1,0.500000,0.198730,0.397460,0.266076,1.338881
3,1,0.050000,0.250000,2,5,1,0.500000,0.249870,0.499720,0.384386,1.538345
3,1,0.050000,0.300000,2,5,1,0.500000,0.300180,0.600360,0.540305,1.799935
3,1,0.050000,0.350000,2,5,1,0.500000,0.349880,0.699760,0.741552,2.119446
3,1,0.050000,0.400000,2,5,1,0.500000,0.400300,0.800580,1.047583,2.616994
3,1,0.050000,0.450000,2,5,1,0.500000,0.451270,0.902540,1.545254,3.424234
3,1,0.050000,0.500000,2,5,1,0.500000,0.501360,1.002650,2.467104,4.920823
3,1,0.050000,0.550000,2,5,1,0.500000,0.548630,1.097240,4.451997,8.114752
3,1,0.050000,0.600000,2,5,1,0.500000,0.600570,1.199940,15.621527,26.011167
3,1,0.050000,0.650000,2,5,1,0.500000,0.651580,1.248890,1232.804070,1892.022576
4,1,0.050000,0.050000,2,5,1,0.500000,0.049900,0.099800,0.047836,0.958643
4,1,0.050000,0.100000,2,5,1,0.500000,0.099900,0.199800,0.105549,1.056545
4,1,0.050000,0.150000,2,5,1,0.500000,0.150490,0.300980,0.174944,1.162494
4,1,0.050000,0.200000,2,5,1,0.500000,0.198670,0.397340,0.265614,1.336962
4,1,0.050000,0.250000,2,5,1,0.500000,0.253000,0.505990,0.394598,1.559678
4,1,0.050000,0.300000,2,5,1,0.500000,0.300460,0.600920,0.530114,1.764340
4,1,0.050000,0.350000,2,5,1,0.500000,0.350370,0.700740,0.754722,2.154070
4,1,0.050000,0.400000,2,5,1,0.500000,0.398430,0.796860,1.064442,2.671591
4,1,0.050000,0.450000,2,5,1,0.500000,0.450330,0.900640,1.542973,3.426317
4,1,0.050000,0.500000,2,5,1,0.500000,0.496410,0.992820,2.391531,4.817653
4,1,0.050000,0.550000,2,5,1,0.500000,0.552090,1.104100,4.507742,8.164867
4,1,0.050000,0.600000,2,5,1,0.500000,0.598010,1.195860,14.707634,24.594295
4,1,0.050000,0.650000,2,5,1,0.500000,0.647320,1.251240,1268.829905,1960.127765
5,1,0.050000,0.050000,2,5,1,0.500000,0.049840,0.099670,0.047717,0.957406
5,1,0.050000,0.100000,2,5,1,0.500000,0.099770,0.199540,0.106162,1.064070
5,1,0.050000,0.150000,2,5,1,0.500000,0.150000,0.300000,0.174880,1.165869
5,1,0.050000,0.200000,2,5,1,0.500000,0.199350,0.398700,0.263712,1.322859
5,1,0.050000,0.250000,2,5,1,0.500000,0.250280,0.500550,0.379878,1.517811
5,1,0.050000,0.300000,2,5,1,0.500000,0.301030,0.602060,0.548196,1.821067
5,1,0.050000,0.350000,2,5,1,0.500000,0.350140,0.700280,0.767770,2.192751
5,1,0.050000,0.400000,2,5,1,0.500000,0.401090,0.802180,1.086916,2.709906
5,1,0.050000,0.450000,2,5,1,0.500000,0.451460,0.902870,1.576973,3.493052
5,1,0.050000,0.500000,2,5,1,0.500000,0.498740,0.997380,2.313291,4.638271
5,1,0.050000,0.550000,2,5,1,0.500000,0.551370,1.102700,4.661919,8.455155
5,1,0.050000,0.600000,2,5,1,0.500000,0.595940,1.191820,13.133296,22.037951
5,1,0.050000,0.650000,2,5,1,0.500000,0.647750,1.250580,1183.803343,1827.562089
6,1,0.050000,0.050000,2,5,1,0.500000,0.051630,0.103260,0.049822,0.964987
6,1,0.050000,0.100000,2,5,1,0.500000,0.101020,0.202040,0.107415,1.063306
6,1,0.050000,0.150000,2,5,1,0.500000,0.146770,0.293540,0.173418,1.181562
6,1,0.050000,0.200000,2,5,1,0.500000,0.199930,0.399860,0.264067,1.320798
6,1,0.050000,0.250000,2,5,1,0.500000,0.249470,0.498940,0.380774,1.526333
6,1,0.050000,0.300000,2,5,1,0.500000,0.301240,0.602460,0.549600,1.824460
6,1,0.050000,0.350000,2,5,1,0.500000,0.351420,0.702820,0.750864,2.136656
6,1,0.050000,0.400000,2,5,1,0.500000,0.405180,0.810340,1.091706,2.694373
6,1,0.050000,0.450000,2,5,1,0.500000,0.447960,0.895920,1.517013,3.386491
6,1,0.050000,0.500000,2,5,1,0.500000,0.498780,0.997430,2.341993,4.695444
6,1,0.050000,0.550000,2,5,1,0.500000,0.551510,1.103010,4.502258,8.163512
6,1,0.050000,0.600000,2,5,1,0.500000,0.600480,1.200470,15.705710,26.155259
6,1,0.050000,0.650000,2,5,1,0.500000,0.652690,1.247660,1391.406626,2131.803193
7,1,0.050000,0.050000,2,5,1,0.500000,0.049070,0.098140,0.047106,0.959968
7,1,0.050000,0.100000,2,5,1,0.500000,0.101130,0.202260,0.108934,1.077170
7,1,0.050000,0.150000,2,5,1,0.500000,0.150770,0.301540,0.177788,1.179200
7,1,0.050000,0.200000,2,5,1,0.500000,0.201710,0.403420,0.269406,1.335611
7,1,0.050000,0.250000,2,5,1,0.500000,0.250230,0.500460,0.385676,1.541287
7,1,0.050000,0.300000,2,5,1,0.500000,0.299990,0.599980,0.535482,1.784999
7,1,0.050000,0.350000,2,5,1,0.500000,0.347850,0.695700,0.741715,2.132285
7,1,0.050000,0.400000,2,5,1,0.500000,0.403500,0.806990,1.073373,2.660155
7,1,0.050000,0.450000,2,5,1,0.500000,0.453370,0.906720,1.619742,3.572672
7,1,0.050000,0.500000,2,5,1,0.500000,0.499120,0.998240,2.429397,4.867361
7,1,0.050000,0.550000,2,5,1,0.500000,0.547310,1.094340,4.043255,7.387505
7,1,0.050000,0.600000,2,5,1,0.500000,0.597570,1.195140,12.110516,20.266272
7,1,0.050000,0.650000,2,5,1,0.500000,0.652800,1.252720,1236.746742,1894.526259
8,1,0.050000,0.050000,2,5,1,0.500000,0.050720,0.101440,0.048857,0.963277
8,1,0.050000,0.100000,2,5,1,0.500000,0.101910,0.203820,0.109511,1.074582
8,1,0.050000,0.150000,2,5,1,0.500000,0.150520,0.301040,0.180948,1.202151
8,1,0.050000,0.200000,2,5,1,0.500000,0.200180,0.400360,0.264176,1.319695
8,1,0.050000,0.250000,2,5,1,0.500000,0.249930,0.499860,0.382214,1.529285
8,1,0.050000,0.300000,2,5,1,0.500000,0.300110,0.600220,0.530582,1.767959
8,1,0.050000,0.350000,2,5,1,0.500000,0.349980,0.699960,0.748882,2.139785
8,1,0.050000,0.400000,2,5,1,0.500000,0.397280,0.794550,1.046756,2.634807
8,1,0.050000,0.450000,2,5,1,0.500000,0.452070,0.903970,1.544137,3.415703
8,1,0.050000,0.500000,2,5,1,0.500000,0.498350,0.996620,2.475363,4.967118
8,1,0.050000,0.550000,2,5,1,0.500000,0.545370,1.090700,4.155659,7.619890
8,1,0.050000,0.600000,2,5,1,0.500000,0.601500,1.202690,17.148650,28.509808
8,1,0.050000,0.650000,2,5,1,0.500000,0.653140,1.247300,1486.609645,2276.096464
9,1,0.050000,0.050000,2,5,1,0.500000,0.050750,0.101500,0.048140,0.948578
9,1,0.050000,0.100000,2,5,1,0.500000,0.101250,0.202490,0.107741,1.064105
9,1,0.050000,0.150000,2,5,1,0.500000,0.149060,0.298120,0.179685,1.205456
9,1,0.050000,0.200000,2,5,1,0.500000,0.201280,0.402560,0.271699,1.349855
9,1,0.050000,0.250000,2,5,1,0.500000,0.248260,0.496510,0.374368,1.507969
9,1,0.050000,0.300000,2,5,1,0.500000,0.301410,0.602820,0.540690,1.793869
9,1,0.050000,0.350000,2,5,1,0.500000,0.349830,0.699620,0.750650,2.145757
9,1,0.050000,0.400000,2,5,1,0.500000,0.400740,0.801470,1.050042,2.620259
9,1,0.050000,0.450000,2,5,1,0.500000,0.451760,0.903520,1.525610,3.377038
9,1,0.050000,0.500000,2,5,1,0.500000,0.499080,0.998150,2.326077,4.660730
9,1,0.050000,0.550000,2,5,1,0.500000,0.549370,1.098730,4.453960,8.107396
9,1,0.050000,0.600000,2,5,1,0.500000,0.602020,1.203280,15.658214,26.009458
9,1,0.050000,0.650000,2,5,1,0.500000,0.656610,1.252040,1553.299778,2365.635275
10,1,0.050000,0.050000,2,5,1,0.500000,0.050210,0.100420,0.047771,0.951416
10,1,0.050000,0.100000,2,5,1,0.500000,0.100500,0.201000,0.106446,1.059161
10,1,0.050000,0.150000,2,5,1,0.500000,0.152000,0.303990,0.179297,1.179589
10,1,0.050000,0.200000,2,5,1,0.500000,0.200940,0.401880,0.268857,1.337995
10,1,0.050000,0.250000,2,5,1,0.500000,0.250580,0.501160,0.394852,1.575754
10,1,0.050000,0.300000,2,5,1,0.500000,0.300560,0.601100,0.532745,1.772509
10,1,0.050000,0.350000,2,5,1,0.500000,0.349330,0.698630,0.762790,2.183580
10,1,0.050000,0.400000,2,5,1,0.500000,0.402200,0.804370,1.080361,2.686128
10,1,0.050000,0.450000,2,5,1,0.500000,0.450550,0.901090,1.515338,3.363307
10,1,0.050000,0.500000,2,5,1,0.500000,0.500810,1.001580,2.360692,4.713748
10,1,0.050000,0.550000,2,5,1,0.500000,0.550450,1.100810,4.329629,7.865618
10,1,0.050000,0.600000,2,5,1,0.500000,0.604570,1.208850,15.176853,25.103550
10,1,0.050000,0.650000,2,5,1,0.500000,0.650180,1.250720,1222.231187,1879.835103
