Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay,Source0ApproxDelay1,Source0ApproxDelay2
9,1,0.220000,0.222000,2,1,10,0.500000,0.222005,0.443914,22.377443,100.797021,-3.443299,3.212380
9,1,0.220000,0.223000,2,1,10,0.500000,0.223040,0.446075,31.361294,140.608383,-3.377551,3.234405
9,1,0.220000,0.224000,2,1,10,0.500000,0.223893,0.447690,40.599591,181.334794,-3.313131,3.256171
9,1,0.220000,0.225000,2,1,10,0.500000,0.224854,0.449560,46.978851,208.930467,-3.250000,3.277683
9,1,0.220000,0.226000,2,1,10,0.500000,0.225263,0.450355,61.526457,273.131660,-3.188119,3.298944
9,1,0.220000,0.227000,2,1,10,0.500000,0.226322,0.452579,149.591618,660.968079,-3.127451,3.319960
10,1,0.220000,0.221000,2,1,10,0.500000,0.221227,0.442401,25.609327,115.760406,-3.510417,3.190092
10,1,0.220000,0.222000,2,1,10,0.500000,0.222104,0.444157,28.466086,128.165572,-3.443299,3.212380
10,1,0.220000,0.223000,2,1,10,0.500000,0.222937,0.445793,30.966735,138.903524,-3.377551,3.234405
10,1,0.220000,0.224000,2,1,10,0.500000,0.223000,0.445961,33.829483,151.701718,-3.313131,3.256171
10,1,0.220000,0.225000,2,1,10,0.500000,0.224801,0.449590,60.366714,268.534009,-3.250000,3.277683
10,1,0.220000,0.226000,2,1,10,0.500000,0.226296,0.452234,72.483472,320.303815,-3.188119,3.298944
10,1,0.220000,0.227000,2,1,10,0.500000,0.227197,0.453514,319.359859,1405.651741,-3.127451,3.319960
